Source,Target,Type,Id,Label,Weight
0.0,1.0,Undirected,281,,2.0
0.0,2.0,Undirected,124,,3.0
0.0,3.0,Undirected,28,,4.0
0.0,7.0,Undirected,123,,3.0
0.0,8.0,Undirected,122,,3.0
0.0,14.0,Undirected,125,,3.0
0.0,21.0,Undirected,121,,3.0
0.0,22.0,Undirected,279,,2.0
0.0,28.0,Undirected,280,,2.0
1.0,3.0,Undirected,100,,3.0
1.0,5.0,Undirected,235,,2.0
1.0,7.0,Undirected,24,,4.0
1.0,8.0,Undirected,234,,2.0
1.0,20.0,Undirected,101,,3.0
1.0,21.0,Undirected,233,,2.0
1.0,28.0,Undirected,236,,2.0
2.0,1.0,Undirected,243,,2.0
2.0,3.0,Undirected,102,,3.0
2.0,6.0,Undirected,240,,2.0
2.0,7.0,Undirected,104,,3.0
2.0,8.0,Undirected,242,,2.0
2.0,11.0,Undirected,239,,2.0
2.0,21.0,Undirected,103,,3.0
2.0,22.0,Undirected,241,,2.0
2.0,28.0,Undirected,105,,3.0
3.0,11.0,Undirected,159,,2.0
4.0,5.0,Undirected,225,,2.0
4.0,9.0,Undirected,90,,3.0
4.0,11.0,Undirected,224,,2.0
4.0,23.0,Undirected,223,,2.0
5.0,6.0,Undirected,21,,4.0
5.0,8.0,Undirected,74,,3.0
5.0,9.0,Undirected,73,,3.0
5.0,11.0,Undirected,72,,3.0
5.0,20.0,Undirected,5,,5.0
5.0,23.0,Undirected,71,,3.0
6.0,11.0,Undirected,154,,2.0
7.0,3.0,Undirected,6,,5.0
7.0,5.0,Undirected,84,,3.0
7.0,6.0,Undirected,81,,3.0
7.0,8.0,Undirected,82,,3.0
7.0,11.0,Undirected,80,,3.0
7.0,12.0,Undirected,83,,3.0
7.0,20.0,Undirected,22,,4.0
7.0,21.0,Undirected,7,,5.0
7.0,22.0,Undirected,214,,2.0
8.0,3.0,Undirected,17,,4.0
8.0,9.0,Undirected,64,,3.0
8.0,11.0,Undirected,63,,3.0
8.0,20.0,Undirected,18,,4.0
8.0,21.0,Undirected,198,,2.0
8.0,22.0,Undirected,199,,2.0
8.0,23.0,Undirected,62,,3.0
9.0,20.0,Undirected,184,,2.0
9.0,23.0,Undirected,4,,5.0
10.0,4.0,Undirected,260,,2.0
10.0,5.0,Undirected,115,,3.0
10.0,8.0,Undirected,114,,3.0
10.0,9.0,Undirected,25,,4.0
10.0,11.0,Undirected,258,,2.0
10.0,13.0,Undirected,262,,2.0
10.0,17.0,Undirected,116,,3.0
10.0,20.0,Undirected,259,,2.0
10.0,23.0,Undirected,113,,3.0
10.0,28.0,Undirected,261,,2.0
12.0,3.0,Undirected,204,,2.0
12.0,9.0,Undirected,206,,2.0
12.0,21.0,Undirected,205,,2.0
13.0,2.0,Undirected,253,,2.0
13.0,3.0,Undirected,249,,2.0
13.0,4.0,Undirected,110,,3.0
13.0,5.0,Undirected,109,,3.0
13.0,6.0,Undirected,108,,3.0
13.0,8.0,Undirected,252,,2.0
13.0,9.0,Undirected,250,,2.0
13.0,11.0,Undirected,107,,3.0
13.0,22.0,Undirected,251,,2.0
13.0,23.0,Undirected,248,,2.0
13.0,28.0,Undirected,111,,3.0
14.0,2.0,Undirected,271,,2.0
