Id,Label
0.0,Alan R Williams
1.0,Bachir Balech
2.0,Christian Brenninkmeijer
3.0,Claus Weiland
4.0,David Shorthouse
5.0,Don Kirkup
6.0,George Gosline
7.0,Kevin Richards
8.0,Lyubomir Penev
9.0,Nicky Nicolson
10.0,Patricia Kelbert
11.0,Robert Hoehndorf
12.0,Rutger Vos
13.0,Guido Sautter
14.0,Thomas Hamann
15.0,Aleksandra Pawlik
16.0,Daniel Mietchen
17.0,David Eades
18.0,David King
19.0,Erikjan Rijkers
20.0,Jeremy Miller
21.0,Jordan Biserkov
22.0,Marko Tähtinen
23.0,Ross Mounce
24.0,Serrano Pereira
25.0,Tom Van Dooren
26.0,Peter Hovenkamp
27.0,Matthew Blissett
28.0,Niall Beard
