Name	Text mining: extracting useful information from text	Development of ontologies	Digital identification keys	Geographic Information Systems	Niche Modelling	Natural language processing, parsing free form text	Provenance annotation: you can use metadata to keep track of where results came from	Semantic integration, mashups - you can write tools to discover, collect and integrate online data	Taxonomic name resolution: you can use and adapt tools to map one set of names to another	Documentation: you can make screencasts and write clear how-to documents	Web service interfaces - you can design and implement interfaces to wrap existing tools	Workflows: you can assemble web services (or other resources) into an executable workflow	Visualization: you can adapt an existing visualization tool for new inputs and capabilities	Processing structured data (XML, JSON, YAML, etc...)	Something else - you can contribute to this project in ways we haven't imagined yet
Rutger Vos	 	X	 	 	 	 	 	X	X	 	X	X	 	X	 
Daniel Mietchen	 	 	 	 	 	 	 	 	 	 	 	 	 	 	X
Tom Van Dooren	 	 	 	 	X	 	 	 	 	 	 	 	 	 	X
Serrano Pereira	 	 	 	 	 	 	 	X	X	 	 	 	 	X	X
Alan R Williams	 	 	 	 	 	 	X	 	 	 	X	X	 	X	 
Christian Brenninkmeijer	 	 	 	 	 	 	 	X	 	 	X	X	 	X	 
Aleksandra Pawlik	 	 	 	 	 	 	 	 	 	 	 	X	 	X	X
Sautter	X	 	 	X	 	X	 	 	X	 	 	 	 	X	 
Thomas Hamann	X	 	 	 	 	X	 	 	 	X	 	 	 	X	 
Erikjan Rijkers	X	 	 	X	 	X	 	X	X	 	 	 	 	X	X
David Eades	 	 	X	 	 	 	 	 	X	 	X	 	 	 	X
Jeremy Miller	X	 	X	X	 	 	X	 	 	 	 	 	X	 	X
Patricia Kelbert	X	 	 	 	 	 	 	 	X	 	X	X	 	X	 
Claus Weiland	 	X	 	X	X	 	X	X	X	 	X	 	 	X	 
Lyubomir Penev	X	 	 	 	 	X	 	X	X	 	X	X	 	X	 
Jordan Biserkov	 	 	 	X	 	 	 	 	 	 	X	X	 	X	X
Don Kirkup	X	 	X	X	X	X	 	 	 	 	 	 	X	X	 
Bachir	 	 	 	 	 	X	 	 	X	 	 	X	 	X	 
David King	X	 	 	 	 	X	X	 	X	 	 	 	 	X	X
George Gosline	 	 	 	X	X	X	 	 	X	 	 	 	 	X	 
Marko Tähtinen	 	 	 	 	X	 	 	 	 	 	X	 	 	 	X
Ross Mounce	X	 	 	 	 	X	X	 	 	X	 	 	 	X	X
Nicky Nicolson	X	 	 	 	 	 	 	X	X	X	X	 	X	X	 
Robert Hoehndorf	X	X	 	 	 	X	X	X	 	 	 	 	 	X	 
David Shorthouse	X	 	 	X	 	X	 	X	X	 	 	 	 	 	 
Kevin Richards	 	X	X	X	 	 	X	X	X	 	X	X	 	X	 
	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
